"Sektor PDRB","Judul Berita","Link","Tanggal Terbit","Ringkasan"
"Pertanian, Kehutanan, dan Perikanan","Mengunjungi Satu-satunya Kebun Jeruk Siam Madu di Purwodadi Pasuruan yang Manfaatkan Lahan Tidur","https://radarbromo.jawapos.com/features/2607230044/mengunjungi-satu-satunya-kebun-jeruk-siam-madu-di-purwodadi-pasuruan-yang-manfaatkan-lahan-tidur","23 Juli 2026","Warga Desa Purwodadi, Kecamatan Purwodadi, Kabupaten Pasuruan mengembangkan budi daya jeruk siam madu di lahan tidur seluas dua hektare sejak 2,5 tahun terakhir. Petani beralih dari pertanian sayuran ke perkebunan jeruk untuk memanfaatkan lahan tak produktif dan meningkatkan nilai ekonomi."
"Konstruksi","Masuk Prioritas, RSUD Purwodadi Pasuruan Dibangun 2027, Dibiayai Melalui Pinjaman Rp 363 Miliar ke PT SMI","https://radarbromo.jawapos.com/pandaan/2607230016/masuk-prioritas-rsud-purwodadi-pasuruan-dibangun-2027-dibiayai-melalui-pinjaman-rp-363-miliar-ke-pt-smi","23 Juli 2026","Pemkab Pasuruan mendapat pinjaman Rp 363 miliar dari PT SMI untuk membangun RSUD Purwodadi di wilayah selatan Kabupaten Pasuruan, dengan alokasi sekitar Rp 167 miliar untuk gedung dan Rp 90 miliar untuk alat kesehatan. Sisa dana juga dipakai merevitalisasi Pasar Cheng Hoo dan kawasan wisata Banyubiru."
"Jasa Keuangan dan Asuransi","Dewan Soroti Rencana Utang yang Akan Dilakukan Pemkab Pasuruan, Harus Hasilkan Nilai Tambah","https://radarbromo.jawapos.com/bangil/2607240005/dewan-soroti-rencana-utang-yang-akan-dilakukan-pemkab-pasuruan-harus-hasilkan-nilai-tambah","24 Juli 2026","DPRD Kabupaten Pasuruan mendukung rencana pinjaman daerah Rp 363 miliar namun menekankan agar kemampuan pengembalian utang dihitung cermat. Anggota dewan menilai pinjaman perlu dipakai untuk investasi produktif yang menghasilkan nilai tambah ekonomi."
"Jasa Kesehatan dan Kegiatan Sosial","Pasuruan Butuh Pusat Rehabilitasi Narkoba, Usulkan Aset Mangkrak","https://radarbromo.jawapos.com/pasuruan/2607260007/pasuruan-butuh-pusat-rehabilitasi-narkoba-usulkan-aset-mangkrak","26 Juli 2026","Kabupaten Pasuruan yang memiliki 24 kecamatan belum memiliki fasilitas rehabilitasi narkoba sehingga korban selama ini dirujuk ke luar daerah. GMDM Jatim mengusulkan pemanfaatan aset pemda yang mangkrak sebagai pusat rehabilitasi, terutama bagi anak korban penyalahgunaan narkotika."
"Transportasi dan Pergudangan","Evaluasi usai Terjadi Kecelakaan Maut, Dishub Pasuruan Ubah Pengaturan Fase Traffic Light di Patung Sapi Pandaan","https://radarbromo.jawapos.com/pandaan/2607210031/evaluasi-usai-terjadi-kecelakaan-maut-dishub-pasuruan-ubah-pengaturan-fase-traffic-light-di-patung-sapi-pandaan","21 Juli 2026","Dishub Kabupaten Pasuruan mengubah pengaturan fase traffic light di simpang empat Patung Sapi, Pandaan, menyusul kecelakaan maut yang menewaskan tiga orang. Perubahan diterapkan mulai Senin (20/7) bekerja sama dengan kepolisian setempat."
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","Kian Menumpuk, Pemkab Pasuruan Rancang Pengolahan Sampah Jadi Listrik","https://radarbromo.jawapos.com/pasuruan/2607240004/kian-menumpuk-pemkab-pasuruan-rancang-pengolahan-sampah-jadi-listrik","24 Juli 2026","DLH Kabupaten Pasuruan menyiapkan proyek pengolahan sampah menjadi energi listrik (waste to energy) di TPA Wonokerto, Kecamatan Sukorejo, untuk mengatasi tumpukan sampah dan memenuhi target penutupan open dumping dari KLHK akhir 2026."
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","PAD Ditarget Tembus Rp 1,76 Triliun, Pemkab Pasuruan Andalkan Investasi","https://kabarpas.com/pad-ditarget-tembus-rp-176-triliun-pemkab-pasuruan-andalkan-investasi/","21 Juli 2026","Pemkab Pasuruan menargetkan pendapatan asli daerah (PAD) 2027 sebesar Rp 1,761 triliun, ditopang pajak dan retribusi daerah, sebagai bagian tema pembangunan penguatan pertumbuhan ekonomi dan investasi. Total pendapatan daerah ditargetkan mencapai Rp 3,528 triliun."
"Pertanian, Kehutanan, dan Perikanan","Pasuruan Jadi Percontohan Kandang Modern Closed Barn, Produksi Susu Sapi Ditarget Naik 20 Persen","https://jatim.tribunnews.com/pasuruan/553411/pasuruan-jadi-percontohan-kandang-modern-closed-barn-produksi-susu-sapi-ditarget-naik-20-persen","22 Juli 2026","Kabupaten Pasuruan ditetapkan sebagai daerah percontohan sistem kandang sapi perah semi tertutup (closed barn) di KUD Dadi Jaya, Kecamatan Purwodadi. Nestle Indonesia menyerahkan 90 sapi perah impor untuk meningkatkan produksi susu segar hingga lebih dari 20 persen dan memperkuat ketahanan pangan nasional."
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","Setoran PAD Naik Dua Kali Lipat Jadi Rp5 Miliar, Perumda Giri Nawa Tirta Pasuruan Panen Apresiasi","https://jatim.tribunnews.com/pasuruan/553323/setoran-pad-naik-dua-kali-lipat-jadi-rp5-miliar-perumda-giri-nawa-tirta-pasuruan-panen-apresiasi","21 Juli 2026","Perumda Giri Nawa Tirta, BUMD penyedia air minum Kabupaten Pasuruan, melipatgandakan setoran PAD dari Rp2,5 miliar menjadi Rp5,028 miliar pada tahun buku 2025. Peningkatan didorong efisiensi pencatatan keuangan serta pertumbuhan pelanggan industri dan rumah tangga."
"Penyediaan Akomodasi dan Makan Minum","Sempat Ditutup Akibat Kecelakaan, Gledekan Prigen Kini Dibuka Kembali dengan SOP Ketat","https://www.wartabromo.com/2026/07/26/sempat-ditutup-akibat-kecelakaan-gledekan-prigen-kini-dibuka-kembali-dengan-sop-ketat/","26 Juli 2026","Atraksi wisata ekstrem Gledekan (Palembon) di Kecamatan Prigen, Kabupaten Pasuruan, dibuka kembali setelah sempat ditutup akibat kecelakaan, dengan penerapan empat SOP keselamatan ketat bagi peserta, penonton, marshal, dan lintasan. Pembukaan didukung langsung oleh Wakil Bupati Pasuruan."
"Perdagangan Besar dan Eceran","DPRD Pasuruan Jadikan Agenda Dinas Promosi Produk UMKM Unggulan","https://pasuruan.xpos.co.id/dprd-pasuruan-jadikan-agenda-dinas-promosi-produk-umkm-unggulan","20 Juli 2026","DPRD Kabupaten Pasuruan menjadikan setiap agenda kedinasan sebagai ajang promosi produk UMKM unggulan daerah, seperti keripik, kopi, dan batik lokal, melalui bingkisan untuk tamu dan kunjungan dinas. Langkah ini diharapkan memperluas pemasaran produk UMKM ke tingkat regional dan nasional."
"Jasa Perusahaan","Pemkab Pasuruan Bentuk Forum TJSL BU, CSR Diarahkan Lebih Tepat Sasaran dan Berdampak bagi Masyarakat","https://dialogmasa.com/pemkab-pasuruan-bentuk-forum-tjsl-bu-csr-diarahkan-lebih-tepat-sasaran-dan-berdampak-bagi-masyarakat/","24 Juli 2026","Pemkab Pasuruan membentuk Forum Tanggung Jawab Sosial dan Lingkungan Badan Usaha (TJSL BU) agar program CSR perusahaan lebih terarah dan tidak tumpang tindih, sesuai Perbup Nomor 14 Tahun 2026. Forum ini melibatkan ratusan perwakilan perusahaan sebagai wadah koordinasi dengan pemerintah daerah."
"Industri Pengolahan","Sehari, KPSP Setia Kawan Nongkojajar Produksi Susu Segar 110 Ton","https://pasuruankab.go.id/berita/sehari-kpsp-setia-kawan-nongkojajar-produksi-susu-segar-110-ton","24 Juli 2026","KPSP Setia Kawan Nongkojajar di Kecamatan Tutur, Kabupaten Pasuruan, memproduksi 110 ton susu segar per hari dari 12 ribu sapi perah untuk memasok industri pengolahan susu besar seperti Indolakto, Cimory, dan Frisian Flag. Koperasi ini masih perlu menambah populasi sapi impor untuk memenuhi permintaan pasar sebesar 160 ton per hari."
"Jasa Pendidikan","Kabupaten Pasuruan Dikunjungi Ratusan Mahasiswa 42 Negara","https://www.pasuruankab.go.id/berita/kabupaten-pasuruan-dikunjungi-ratusan-mahasiswa-42-negara","22 Juli 2026","Ratusan mahasiswa S1-S3 dari 42 negara peserta Summer School 2026 UNAIR berkunjung ke KUTT Suka Makmur Grati, Kabupaten Pasuruan, untuk program pengabdian masyarakat internasional bertema Green Economy and Sustainable Industry, termasuk kunjungan ke peternakan sapi perah lokal."
"Pengadaan Listrik dan Gas","Warga Pasuruan Patut Bangga, Sampah Bakal Diubah Jadi Listrik 10 Megawatt","https://www.pasuruankab.go.id/berita/warga-pasuruan-patut-bangga-sampah-bakal-diubah-jadi-listrik-10-megawatt","22 Juli 2026","Bupati Pasuruan menyatakan kesiapan mengikuti Program Tata Kelola Lingkungan dan Sosial (PTLS) bersama Kemendagri dan investor PT Nusantara Hijau Lestari untuk membangun pembangkit listrik tenaga sampah (PLTSa) berkapasitas 10 megawatt, mengolah 824 ton sampah per hari di Kabupaten Pasuruan."
